geneId,geneName,locus,strand,chromosome
gene-COQ7,COQ7,NC_059180.1,+,24,
gene-COQ8A,COQ8A,NC_059161.1,-,5,
gene-COQ8B,COQ8B,NC_059174.1,-,18,
gene-COQ9,COQ9,NC_059174.1,+,18,
gene-CORIN,CORIN,NC_059163.1,+,7,
gene-CORO1A,CORO1A,NC_059180.1,+,24,
gene-CORO1B,CORO1B,NC_059161.1,-,5,
gene-CORO1C,CORO1C,NC_059173.1,-,17,
gene-CORO2A,CORO2A,NC_059159.1,-,3,
gene-CORO2B,CORO2B,NC_059167.1,-,11,
gene-CORO6,CORO6,NC_059159.1,+,3,
gene-COTL1,COTL1,NC_059174.1,-,18,
gene-CPA1,CPA1,NC_059164.1,+,8,
gene-CPA3,CPA3,NC_059157.1,-,1,
gene-CPA5,CPA5,NC_059164.1,+,8,
gene-CPA6,CPA6,NC_059171.1,+,15,
gene-CPAMD8,CPAMD8,NC_059165.1,-,9,
gene-CPB1,CPB1,NC_059157.1,-,1,
gene-CPB2,CPB2,NC_059169.1,+,13,
gene-CPD,CPD,NC_059159.1,-,3,
gene-CPE,CPE,NC_059173.1,-,17,
gene-CPEB1,CPEB1,NC_059176.1,+,20,
gene-CPEB2,CPEB2,NC_059163.1,-,7,
gene-CPEB3,CPEB3,NC_059179.1,-,23,
gene-CPEB4,CPEB4,NC_059175.1,+,19,
gene-CPED1,CPED1,NC_059164.1,+,8,
gene-CPHXL,CPHXL,NC_059160.1,+,4,
gene-CPLANE1,CPLANE1,NC_059175.1,+,19,
gene-CPLANE2,CPLANE2,NC_059158.1,+,2,
gene-CPLX1,CPLX1,NC_059163.1,-,7,
gene-CPLX2,CPLX2,NC_059167.1,+,11,
gene-CPLX3,CPLX3,NC_059176.1,+,20,
gene-CPLX4,CPLX4,NC_059178.1,+,22,
gene-CPM,CPM,NC_059160.1,-,4,
gene-CPN1,CPN1,NC_059179.1,-,23,
gene-CPN2,CPN2,NC_059157.1,+,1,
gene-CPNE2,CPNE2,NC_059174.1,+,18,
gene-CPNE3,CPNE3,NC_059171.1,+,15,
gene-CPNE4,CPNE4,NC_059157.1,+,1,
gene-CPNE5,CPNE5,NC_059158.1,+,2,
gene-CPNE6,CPNE6,NC_059167.1,+,11,
gene-CPNE7,CPNE7,NC_059174.1,+,18,
gene-CPNE8,CPNE8,NC_059160.1,-,4,
gene-CPNE9,CPNE9,NC_059177.1,-,21,
gene-CPO,CPO,NC_059158.1,+,2,
gene-CPOX,CPOX,NC_059157.1,-,1,
gene-CPPED1,CPPED1,NC_059180.1,+,24,
gene-CPQ,CPQ,NC_059171.1,+,15,
gene-CPS1,CPS1,NC_059158.1,+,2,
gene-CPSF1,CPSF1,NC_059171.1,-,15,
gene-CPSF2,CPSF2,NC_059176.1,-,20,
gene-CPSF3,CPSF3,NC_059168.1,-,12,
gene-CPSF4,CPSF4,NC_059180.1,+,24,
gene-CPSF4L,CPSF4L,NC_059159.1,-,3,
gene-CPSF6,CPSF6,NC_059160.1,+,4,
gene-CPSF7,CPSF7,NC_059161.1,-,5,
gene-CPT1A,CPT1A,NC_059161.1,-,5,
gene-CPT1B,CPT1B,NC_059160.1,+,4,
gene-CPT1C,CPT1C,NC_059174.1,+,18,
gene-CPT2,CPT2,NC_059162.1,-,6,
gene-CPVL,CPVL,NC_059164.1,+,8,
gene-CPXM1,CPXM1,NC_059170.1,-,14,
gene-CPXM2,CPXM2,NC_059179.1,-,23,
gene-CPZ,CPZ,NC_059163.1,-,7,
gene-CR2,CR2,NC_059161.1,-,5,
gene-CRABP1,CRABP1,NC_059176.1,-,20,
gene-CRABP2,CRABP2,NC_059162.1,+,6,
gene-CRACD,CRACD,NC_059163.1,-,7,
gene-CRACDL,CRACDL,NC_059168.1,-,12,
gene-CRACR2A,CRACR2A,NC_059160.1,-,4,
gene-CRADD,CRADD,NC_059160.1,-,4,
gene-CRAMP1,CRAMP1,NC_059180.1,-,24,
gene-CRAT,CRAT,NC_059168.1,-,12,
gene-CRB1,CRB1,NC_059161.1,-,5,
gene-CRB2,CRB2,NC_059168.1,+,12,
gene-CRB3,CRB3,NC_059165.1,+,9,
gene-CRBN,CRBN,NC_059177.1,+,21,
gene-CREB1,CREB1,NC_059158.1,+,2,
gene-CREB3,CREB3,NC_059159.1,+,3,
gene-CREB3L1,CREB3L1,NC_059172.1,-,16,
gene-CREB3L2,CREB3L2,NC_059164.1,-,8,
gene-CREB3L3,CREB3L3,NC_059165.1,+,9,
gene-CREB3L4,CREB3L4,NC_059162.1,-,6,
gene-CREB5,CREB5,NC_059164.1,-,8,
gene-CREBL2,CREBL2,NC_059160.1,+,4,
gene-CREBRF,CREBRF,NC_059175.1,+,19,
gene-CREBZF,CREBZF,NC_059161.1,+,5,
gene-CREG1,CREG1,NC_059162.1,+,6,
gene-CREG2,CREG2,NC_059168.1,-,12,
gene-CRELD1,CRELD1,NC_059177.1,-,21,
gene-CRELD2,CRELD2,NC_059160.1,-,4,
gene-CREM,CREM,NC_059170.1,+,14,
gene-CRH,CRH,NC_059171.1,+,15,
gene-CRHR1,CRHR1,NC_059159.1,-,3,
gene-CRHR2,CRHR2,NC_059164.1,+,8,
gene-CRIM1,CRIM1,NC_059168.1,+,12,
gene-CRIP3,CRIP3,NC_059158.1,+,2,
gene-CRIPT,CRIPT,NC_059168.1,+,12,
gene-CRISP1,CRISP1,NC_059158.1,+,2,
gene-CRISP2,CRISP2,NC_059158.1,+,2,
gene-CRISPLD1,CRISPLD1,NC_059171.1,-,15,
gene-CRISPLD2,CRISPLD2,NC_059174.1,+,18,
gene-CRK,CRK,NC_059159.1,+,3,
gene-CRKL,CRKL,NC_059173.1,-,17,
gene-CRLF1,CRLF1,NC_059165.1,-,9,
gene-CRLF2,CRLF2,NC_059181.1,-,X,
gene-CRLF3,CRLF3,NC_059159.1,-,3,
gene-CRLS1,CRLS1,NC_059170.1,-,14,
gene-CRMP1,CRMP1,NC_059163.1,-,7,
gene-CRNKL1,CRNKL1,NC_059170.1,+,14,
gene-CROCC,CROCC,NC_059158.1,-,2,
gene-CROCC2,CROCC2,NC_059162.1,+,6,
gene-CROT,CROT,NC_059164.1,-,8,
gene-CRPPA,CRPPA,NC_059164.1,-,8,
gene-CRTAC1,CRTAC1,NC_059179.1,-,23,
gene-CRTAM,CRTAM,NC_059172.1,-,16,
gene-CRTC1,CRTC1,NC_059165.1,+,9,
gene-CRTC2,CRTC2,NC_059162.1,+,6,
gene-CRTC3,CRTC3,NC_059176.1,+,20,
gene-CRX,CRX,NC_059174.1,+,18,
gene-CRY1,CRY1,NC_059160.1,+,4,
gene-CRY2,CRY2,NC_059172.1,-,16,
gene-CRYAA,CRYAA,NC_059157.1,+,1,
gene-CRYAB,CRYAB,NC_059172.1,+,16,
gene-CRYBA1,CRYBA1,NC_059159.1,-,3,
gene-CRYBA4,CRYBA4,NC_059173.1,-,17,
gene-CRYBB1,CRYBB1,NC_059173.1,+,17,
gene-CRYBB2,CRYBB2,NC_059173.1,-,17,
gene-CRYBB3,CRYBB3,NC_059173.1,-,17,
gene-CRYBG1,CRYBG1,NC_059166.1,+,10,
gene-CRYBG2,CRYBG2,NC_059158.1,+,2,
gene-CRYBG3,CRYBG3,NC_059157.1,+,1,
gene-CRYGC,CRYGC,NC_059158.1,-,2,
gene-CRYGN,CRYGN,NC_059164.1,-,8,
gene-CRYGS,CRYGS,NC_059157.1,+,1,
gene-CRYL1,CRYL1,NC_059169.1,-,13,
gene-CRYM,CRYM,NC_059180.1,+,24,
gene-CRYZ,CRYZ,NC_059162.1,+,6,
gene-CRYZL1,CRYZL1,NC_059157.1,+,1,
gene-CS,CS,NC_059160.1,-,4,
gene-CSAD,CSAD,NC_059160.1,-,4,
gene-CSDC2,CSDC2,NC_059160.1,-,4,
gene-CSDE1,CSDE1,NC_059162.1,+,6,
gene-CSE1L,CSE1L,NC_059170.1,-,14,
gene-CSF1,CSF1,NC_059162.1,-,6,
gene-CSF1R,CSF1R,NC_059165.1,+,9,
gene-CSF2,CSF2,NC_059165.1,+,9,
gene-CSF2RA,CSF2RA,NC_059181.1,+,X,
gene-CSF2RB,CSF2RB,NC_059160.1,-,4,
gene-CSF3,CSF3,NC_059159.1,-,3,
gene-CSF3R,CSF3R,NC_059162.1,+,6,
gene-CSGALNACT1,CSGALNACT1,NC_059157.1,-,1,
gene-CSGALNACT2,CSGALNACT2,NC_059160.1,+,4,
gene-CSK,CSK,NC_059176.1,+,20,
gene-CSKMT,CSKMT,NC_059161.1,+,5,
gene-CSMD1,CSMD1,NC_059157.1,+,1,
gene-CSMD2,CSMD2,NC_059162.1,+,6,
gene-CSMD3,CSMD3,NC_059171.1,-,15,
gene-CSN1S1,CSN1S1,NC_059163.1,-,7,
gene-CSN2,CSN2,NC_059163.1,+,7,
gene-CSN3,CSN3,NC_059163.1,-,7,
gene-CSNK1A1,CSNK1A1,NC_059165.1,+,9,
gene-CSNK1D,CSNK1D,NC_059159.1,-,3,
gene-CSNK1G1,CSNK1G1,NC_059167.1,-,11,
gene-CSNK1G2,CSNK1G2,NC_059165.1,-,9,
gene-CSNK1G3,CSNK1G3,NC_059165.1,+,9,
gene-CSNK2A1,CSNK2A1,NC_059170.1,-,14,
gene-CSNK2A2,CSNK2A2,NC_059174.1,-,18,
gene-CSNK2B,CSNK2B,NC_059158.1,+,2,
gene-CSPG4,CSPG4,NC_059176.1,-,20,
gene-CSPG5,CSPG5,NC_059177.1,+,21,
gene-CSPP1,CSPP1,NC_059171.1,-,15,
gene-CSRNP1,CSRNP1,NC_059177.1,-,21,
gene-CSRNP2,CSRNP2,NC_059160.1,-,4,
gene-CSRNP3,CSRNP3,NC_059158.1,-,2,
gene-CSRP1,CSRP1,NC_059161.1,-,5,
gene-CSRP2,CSRP2,NC_059160.1,+,4,
gene-CSRP3,CSRP3,NC_059161.1,+,5,
gene-CST11,CST11,NC_059170.1,+,14,
gene-CST6,CST6,NC_059161.1,+,5,
gene-CST7,CST7,NC_059170.1,-,14,
gene-CSTA,CSTA,NC_059157.1,+,1,
gene-CSTF1,CSTF1,NC_059170.1,+,14,
gene-CSTF2,CSTF2,NC_059181.1,+,X,
gene-CSTF2T,CSTF2T,NC_059179.1,+,23,
gene-CSTF3,CSTF3,NC_059172.1,+,16,
gene-CSTL1,CSTL1,NC_059170.1,-,14,
gene-CT55,CT55,NC_059181.1,-,X,
gene-CT83,CT83,NC_059181.1,-,X,
gene-CTBP1,CTBP1,NC_059163.1,-,7,
gene-CTBP2,CTBP2,NC_059179.1,-,23,
gene-CTBS,CTBS,NC_059162.1,+,6,
gene-CTC1,CTC1,NC_059159.1,+,3,
gene-CTCF,CTCF,NC_059174.1,+,18,
gene-CTCFL,CTCFL,NC_059170.1,-,14,
gene-CTDNEP1,CTDNEP1,NC_059159.1,+,3,
gene-CTDP1,CTDP1,NC_059178.1,+,22,
gene-CTDSP1,CTDSP1,NC_059158.1,+,2,
gene-CTDSP2,CTDSP2,NC_059160.1,-,4,
gene-CTDSPL,CTDSPL,NC_059177.1,+,21,
gene-CTDSPL2,CTDSPL2,NC_059167.1,-,11,
gene-CTF1,CTF1,NC_059180.1,-,24,
gene-CTH,CTH,NC_059162.1,-,6,
gene-CTHRC1,CTHRC1,NC_059171.1,+,15,
gene-CTIF,CTIF,NC_059178.1,-,22,
gene-CTLA4,CTLA4,NC_059158.1,+,2,
gene-CTNNA1,CTNNA1,NC_059165.1,-,9,
gene-CTNNA2,CTNNA2,NC_059168.1,-,12,
gene-CTNNA3,CTNNA3,NC_059160.1,-,4,
gene-CTNNAL1,CTNNAL1,NC_059159.1,-,3,
gene-CTNNB1,CTNNB1,NC_059177.1,+,21,
gene-CTNNBIP1,CTNNBIP1,NC_059161.1,-,5,
gene-CTNNBL1,CTNNBL1,NC_059170.1,-,14,
gene-CTNND1,CTNND1,NC_059172.1,-,16,
gene-CTNND2,CTNND2,NC_059175.1,+,19,
gene-CTNS,CTNS,NC_059159.1,-,3,
gene-CTPS1,CTPS1,NC_059162.1,-,6,
gene-CTPS2,CTPS2,NC_059181.1,-,X,
gene-CTR9,CTR9,NC_059172.1,+,16,
gene-CTRC,CTRC,NC_059161.1,+,5,
gene-CTSA,CTSA,NC_059170.1,-,14,
gene-CTSB,CTSB,NC_059159.1,+,3,
gene-CTSC,CTSC,NC_059161.1,+,5,
gene-CTSD,CTSD,NC_059161.1,+,5,
gene-CTSF,CTSF,NC_059161.1,-,5,
gene-CTSH,CTSH,NC_059176.1,+,20,
gene-CTSK,CTSK,NC_059162.1,+,6,
gene-CTSL,CTSL,NC_059159.1,+,3,
gene-CTSO,CTSO,NC_059173.1,-,17,
gene-CTSS,CTSS,NC_059162.1,+,6,
gene-CTSW,CTSW,NC_059161.1,+,5,
gene-CTSZ,CTSZ,NC_059170.1,-,14,
gene-CTTN,CTTN,NC_059161.1,+,5,
gene-CTTNBP2,CTTNBP2,NC_059164.1,+,8,
gene-CTTNBP2NL,CTTNBP2NL,NC_059162.1,-,6,
gene-CTU1,CTU1,NC_059174.1,-,18,
gene-CTU2,CTU2,NC_059174.1,+,18,
gene-CTXN1,CTXN1,NC_059165.1,+,9,
gene-CTXN2,CTXN2,NC_059167.1,+,11,
gene-CTXN3,CTXN3,NC_059165.1,+,9,
gene-CTXND1,CTXND1,NC_059176.1,+,20,
gene-CTXND2,CTXND2,NC_059162.1,-,6,
gene-CUBN,CUBN,NC_059170.1,+,14,
gene-CUEDC1,CUEDC1,NC_059159.1,+,3,
gene-CUEDC2,CUEDC2,NC_059179.1,-,23,
gene-CUL1,CUL1,NC_059164.1,+,8,
gene-CUL2,CUL2,NC_059170.1,-,14,
gene-CUL3,CUL3,NC_059158.1,-,2,
gene-CUL4A,CUL4A,NC_059169.1,-,13,
gene-CUL4B,CUL4B,NC_059181.1,-,X,
gene-CUL5,CUL5,NC_059172.1,-,16,
gene-CUL7,CUL7,NC_059158.1,+,2,
gene-CUL9,CUL9,NC_059158.1,-,2,
gene-CUTA,CUTA,NC_059158.1,+,2,
gene-CUTC,CUTC,NC_059179.1,+,23,
gene-CUX1,CUX1,NC_059180.1,+,24,
gene-CUX2,CUX2,NC_059173.1,-,17,
gene-CWC15,CWC15,NC_059172.1,-,16,
gene-CWC22,CWC22,NC_059158.1,+,2,
gene-CWC25,CWC25,NC_059159.1,+,3,
gene-CWC27,CWC27,NC_059175.1,-,19,
gene-CWF19L1,CWF19L1,NC_059179.1,-,23,
gene-CWF19L2,CWF19L2,NC_059172.1,-,16,
gene-CWH43,CWH43,NC_059163.1,-,7,
gene-CX3CL1,CX3CL1,NC_059174.1,+,18,
gene-CX3CR1,CX3CR1,NC_059177.1,-,21,
gene-CXADR,CXADR,NC_059157.1,-,1,
gene-CXCL10,CXCL10,NC_059163.1,+,7,
gene-CXCL11,CXCL11,NC_059163.1,+,7,
gene-CXCL12,CXCL12,NC_059160.1,+,4,
gene-CXCL13,CXCL13,NC_059163.1,-,7,
gene-CXCL14,CXCL14,NC_059165.1,+,9,
gene-CXCL16,CXCL16,NC_059159.1,-,3,
gene-CXCL17,CXCL17,NC_059174.1,-,18,
gene-CXCL8,CXCL8,NC_059163.1,-,7,
gene-CXCL9,CXCL9,NC_059163.1,+,7,
gene-CXCR2,CXCR2,NC_059158.1,+,2,
gene-CXCR3,CXCR3,NC_059181.1,-,X,
gene-CXCR4,CXCR4,NC_059158.1,+,2,
gene-CXCR5,CXCR5,NC_059172.1,-,16,
gene-CXCR6,CXCR6,NC_059177.1,-,21,
gene-CXHXorf38,CXHXorf38,NC_059181.1,-,X,
gene-CXHXorf58,CXHXorf58,NC_059181.1,+,X,
gene-CXHXorf65,CXHXorf65,NC_059181.1,-,X,
gene-CXXC1,CXXC1,NC_059178.1,+,22,
gene-CXXC4,CXXC4,NC_059163.1,+,7,
gene-CXXC5,CXXC5,NC_059165.1,-,9,
gene-CYFIP1,CYFIP1,NC_059158.1,-,2,
gene-CYFIP2,CYFIP2,NC_059165.1,-,9,
gene-CYGB,CYGB,NC_059159.1,-,3,
gene-CYHR1,CYHR1,NC_059171.1,-,15,
gene-CYLC1,CYLC1,NC_059181.1,+,X,
gene-CYLC2,CYLC2,NC_059159.1,+,3,
gene-CYLD,CYLD,NC_059174.1,+,18,
gene-CYREN,CYREN,NC_059164.1,-,8,
gene-CYRIA,CYRIA,NC_059168.1,+,12,
gene-CYRIB,CYRIB,NC_059171.1,-,15,
gene-CYS1,CYS1,NC_059168.1,+,12,
gene-CYSLTR1,CYSLTR1,NC_059181.1,-,X,
gene-CYSLTR2,CYSLTR2,NC_059169.1,-,13,
gene-CYSRT1,CYSRT1,NC_059168.1,+,12,
gene-CYSTM1,CYSTM1,NC_059165.1,-,9,
gene-CYTH1,CYTH1,NC_059159.1,-,3,
gene-CYTH2,CYTH2,NC_059174.1,+,18,
gene-CYTH3,CYTH3,NC_059180.1,+,24,
gene-CYTH4,CYTH4,NC_059160.1,-,4,
gene-CYTL1,CYTL1,NC_059163.1,-,7,
gene-CYYR1,CYYR1,NC_059157.1,+,1,
gene-CZIB,CZIB,NC_059162.1,+,6,
gene-D2HGDH,D2HGDH,NC_059162.1,+,6,
gene-DAAM1,DAAM1,NC_059167.1,-,11,
gene-DAAM2,DAAM2,NC_059158.1,-,2,
gene-DAB1,DAB1,NC_059162.1,+,6,
gene-DAB2,DAB2,NC_059175.1,+,19,
gene-DACH1,DACH1,NC_059169.1,+,13,
gene-DACH2,DACH2,NC_059181.1,+,X,
gene-DACT1,DACT1,NC_059167.1,-,11,
gene-DACT2,DACT2,NC_059166.1,+,10,
gene-DACT3,DACT3,NC_059174.1,-,18,
gene-DAD1,DAD1,NC_059167.1,-,11,
gene-DAG1,DAG1,NC_059177.1,-,21,
gene-DAGLA,DAGLA,NC_059161.1,+,5,
gene-DAGLB,DAGLB,NC_059180.1,+,24,
gene-DALRD3,DALRD3,NC_059177.1,+,21,
gene-DAO,DAO,NC_059173.1,+,17,
gene-DAP3,DAP3,NC_059162.1,-,6,
gene-DAPK1,DAPK1,NC_059159.1,+,3,
gene-DAPK2,DAPK2,NC_059167.1,-,11,
gene-DAPK3,DAPK3,NC_059165.1,-,9,
gene-DAPL1,DAPL1,NC_059158.1,-,2,
gene-DAPP1,DAPP1,NC_059163.1,-,7,
gene-DARS1,DARS1,NC_059158.1,+,2,
gene-DARS2,DARS2,NC_059161.1,-,5,
gene-DAW1,DAW1,NC_059158.1,+,2,
gene-DAXX,DAXX,NC_059158.1,+,2,
gene-DAZAP1,DAZAP1,NC_059165.1,-,9,
gene-DAZAP2,DAZAP2,NC_059160.1,+,4,
gene-DAZL,DAZL,NC_059157.1,-,1,
gene-DBF4,DBF4,NC_059164.1,-,8,
gene-DBF4B,DBF4B,NC_059159.1,-,3,
gene-DBH,DBH,NC_059168.1,+,12,
gene-DBI,DBI,NC_059158.1,+,2,
gene-DBN1,DBN1,NC_059165.1,+,9,
gene-DBNDD1,DBNDD1,NC_059174.1,-,18,
gene-DBNDD2,DBNDD2,NC_059170.1,-,14,
gene-DBNL,DBNL,NC_059177.1,+,21,
gene-DBR1,DBR1,NC_059157.1,+,1,
gene-DBT,DBT,NC_059162.1,+,6,
gene-DBX1,DBX1,NC_059161.1,+,5,
gene-DBX2,DBX2,NC_059160.1,-,4,
gene-DCAF1,DCAF1,NC_059177.1,+,21,
gene-DCAF10,DCAF10,NC_059159.1,+,3,
gene-DCAF11,DCAF11,NC_059167.1,+,11,
gene-DCAF12,DCAF12,NC_059159.1,-,3,
gene-DCAF13,DCAF13,NC_059171.1,+,15,
gene-DCAF15,DCAF15,NC_059165.1,+,9,
gene-DCAF16,DCAF16,NC_059163.1,+,7,
gene-DCAF17,DCAF17,NC_059158.1,-,2,
gene-DCAF4,DCAF4,NC_059167.1,-,11,
gene-DCAF5,DCAF5,NC_059167.1,+,11,
gene-DCAF6,DCAF6,NC_059162.1,-,6,
gene-DCAF7,DCAF7,NC_059159.1,-,3,
gene-DCAF8,DCAF8,NC_059162.1,+,6,
gene-DCAKD,DCAKD,NC_059159.1,+,3,
gene-DCBLD1,DCBLD1,NC_059166.1,+,10,
gene-DCBLD2,DCBLD2,NC_059157.1,-,1,
gene-DCC,DCC,NC_059178.1,-,22,
gene-DCDC1,DCDC1,NC_059172.1,+,16,
gene-DCDC2,DCDC2,NC_059158.1,-,2,
gene-DCDC2B,DCDC2B,NC_059158.1,-,2,
gene-DCDC2C,DCDC2C,NC_059159.1,-,3,
gene-DCHS1,DCHS1,NC_059172.1,-,16,
gene-DCHS2,DCHS2,NC_059173.1,-,17,
gene-DCK,DCK,NC_059163.1,-,7,
gene-DCLK1,DCLK1,NC_059169.1,-,13,
gene-DCLK2,DCLK2,NC_059173.1,+,17,
gene-DCLK3,DCLK3,NC_059177.1,+,21,
gene-DCLRE1A,DCLRE1A,NC_059179.1,-,23,
gene-DCLRE1B,DCLRE1B,NC_059162.1,-,6,
gene-DCLRE1C,DCLRE1C,NC_059170.1,+,14,
gene-DCN,DCN,NC_059160.1,+,4,
gene-DCP1A,DCP1A,NC_059177.1,+,21,
gene-DCP1B,DCP1B,NC_059160.1,+,4,
gene-DCP2,DCP2,NC_059167.1,+,11,
gene-DCPS,DCPS,NC_059161.1,+,5,
gene-DCST1,DCST1,NC_059162.1,-,6,
gene-DCST2,DCST2,NC_059162.1,+,6,
gene-DCT,DCT,NC_059169.1,+,13,
gene-DCTD,DCTD,NC_059157.1,+,1,
gene-DCTN1,DCTN1,NC_059168.1,+,12,
gene-DCTN2,DCTN2,NC_059160.1,-,4,
gene-DCTN3,DCTN3,NC_059159.1,-,3,
gene-DCTN4,DCTN4,NC_059165.1,+,9,
gene-DCTN5,DCTN5,NC_059180.1,-,24,
gene-DCTN6,DCTN6,NC_059157.1,-,1,
gene-DCTPP1,DCTPP1,NC_059180.1,+,24,
gene-DCUN1D1,DCUN1D1,NC_059157.1,+,1,
gene-DCUN1D2,DCUN1D2,NC_059169.1,+,13,
gene-DCUN1D3,DCUN1D3,NC_059180.1,+,24,
gene-DCUN1D4,DCUN1D4,NC_059163.1,-,7,
gene-DCUN1D5,DCUN1D5,NC_059172.1,-,16,
gene-DCX,DCX,NC_059181.1,+,X,
gene-DCXR,DCXR,NC_059159.1,-,3,
gene-DDA1,DDA1,NC_059165.1,+,9,
gene-DDAH1,DDAH1,NC_059162.1,+,6,
gene-DDAH2,DDAH2,NC_059158.1,-,2,
gene-DDB1,DDB1,NC_059161.1,-,5,
gene-DDB2,DDB2,NC_059172.1,-,16,
gene-DDC,DDC,NC_059164.1,+,8,
gene-DDHD1,DDHD1,NC_059167.1,+,11,
gene-DDHD2,DDHD2,NC_059157.1,-,1,
gene-DDI1,DDI1,NC_059172.1,+,16,
gene-DDI2,DDI2,NC_059161.1,+,5,
gene-DDIAS,DDIAS,NC_059161.1,-,5,
gene-DDIT3,DDIT3,NC_059160.1,-,4,
gene-DDIT4,DDIT4,NC_059160.1,+,4,
gene-DDIT4L,DDIT4L,NC_059163.1,+,7,
gene-DDN,DDN,NC_059160.1,-,4,
gene-DDO,DDO,NC_059166.1,-,10,
gene-DDOST,DDOST,NC_059158.1,+,2,
gene-DDR1,DDR1,NC_059158.1,+,2,
gene-DDR2,DDR2,NC_059162.1,-,6,
gene-DDRGK1,DDRGK1,NC_059170.1,-,14,
gene-DDT,DDT,NC_059173.1,-,17,
gene-DDX1,DDX1,NC_059168.1,-,12,
gene-DDX10,DDX10,NC_059172.1,-,16,
gene-DDX11,DDX11,NC_059160.1,-,4,
gene-DDX17,DDX17,NC_059160.1,+,4,
gene-DDX18,DDX18,NC_059158.1,+,2,
gene-DDX19A,DDX19A,NC_059174.1,-,18,
gene-DDX20,DDX20,NC_059162.1,-,6,
gene-DDX21,DDX21,NC_059160.1,+,4,
gene-DDX23,DDX23,NC_059160.1,-,4,
gene-DDX24,DDX24,NC_059176.1,+,20,
gene-DDX25,DDX25,NC_059161.1,+,5,
gene-DDX27,DDX27,NC_059170.1,-,14,
gene-DDX28,DDX28,NC_059174.1,-,18,
gene-DDX31,DDX31,NC_059168.1,-,12,
gene-DDX39A,DDX39A,NC_059165.1,-,9,
gene-DDX39B,DDX39B,NC_059158.1,-,2,
gene-DDX3X,DDX3X,NC_059181.1,+,X,
gene-DDX4,DDX4,NC_059175.1,-,19,
gene-DDX41,DDX41,NC_059165.1,+,9,
gene-DDX42,DDX42,NC_059159.1,-,3,
gene-DDX43,DDX43,NC_059166.1,-,10,
gene-DDX46,DDX46,NC_059165.1,-,9,
gene-DDX47,DDX47,NC_059160.1,+,4,
gene-DDX49,DDX49,NC_059165.1,+,9,
gene-DDX5,DDX5,NC_059159.1,+,3,
gene-DDX50,DDX50,NC_059160.1,+,4,
gene-DDX51,DDX51,NC_059173.1,-,17,
gene-DDX52,DDX52,NC_059159.1,+,3,
gene-DDX54,DDX54,NC_059173.1,+,17,
gene-DDX55,DDX55,NC_059173.1,+,17,
gene-DDX56,DDX56,NC_059164.1,+,8,
gene-DDX58,DDX58,NC_059159.1,+,3,
gene-DDX59,DDX59,NC_059161.1,+,5,
gene-DDX6,DDX6,NC_059172.1,+,16,
gene-DDX60,DDX60,NC_059159.1,-,3,
gene-DDX60L,DDX60L,NC_059159.1,-,3,
gene-DECR1,DECR1,NC_059171.1,+,15,
gene-DECR2,DECR2,NC_059180.1,-,24,
gene-DEDD,DEDD,NC_059162.1,+,6,
gene-DEDD2,DEDD2,NC_059174.1,+,18,
gene-DEF6,DEF6,NC_059158.1,-,2,
gene-DEF8,DEF8,NC_059174.1,+,18,
gene-DEFB104B,DEFB104B,NC_059157.1,+,1,
gene-DEFB105B,DEFB105B,NC_059157.1,-,1,
gene-DEFB106B,DEFB106B,NC_059157.1,+,1,
gene-DEFB107B,DEFB107B,NC_059157.1,-,1,
gene-DEFB109B,DEFB109B,NC_059157.1,-,1,
gene-DEFB113,DEFB113,NC_059158.1,+,2,
gene-DEFB114,DEFB114,NC_059158.1,+,2,
gene-DEFB115,DEFB115,NC_059170.1,-,14,
gene-DEFB116,DEFB116,NC_059170.1,+,14,
gene-DEFB121,DEFB121,NC_059170.1,+,14,
gene-DEFB123,DEFB123,NC_059170.1,-,14,
gene-DEFB124,DEFB124,NC_059170.1,+,14,
gene-DEFB129,DEFB129,NC_059170.1,+,14,
gene-DEFB134,DEFB134,NC_059159.1,+,3,
gene-DEFB136,DEFB136,NC_059159.1,+,3,
gene-DEGS1,DEGS1,NC_059161.1,-,5,
gene-DEGS2,DEGS2,NC_059176.1,+,20,
gene-DEK,DEK,NC_059158.1,-,2,
gene-DELE1,DELE1,NC_059165.1,-,9,
gene-DENND10,DENND10,NC_059179.1,+,23,
gene-DENND11,DENND11,NC_059164.1,-,8,
gene-DENND1A,DENND1A,NC_059168.1,-,12,
gene-DENND1B,DENND1B,NC_059161.1,+,5,
gene-DENND1C,DENND1C,NC_059165.1,-,9,
gene-DENND2A,DENND2A,NC_059164.1,-,8,
gene-DENND2B,DENND2B,NC_059172.1,-,16,
gene-DENND2C,DENND2C,NC_059162.1,+,6,
gene-DENND2D,DENND2D,NC_059162.1,+,6,
gene-DENND3,DENND3,NC_059171.1,+,15,
gene-DENND4A,DENND4A,NC_059167.1,+,11,
gene-DENND4B,DENND4B,NC_059162.1,+,6,
gene-DENND4C,DENND4C,NC_059159.1,-,3,
gene-DENND5A,DENND5A,NC_059172.1,-,16,
gene-DENND5B,DENND5B,NC_059160.1,-,4,
gene-DENND6A,DENND6A,NC_059177.1,+,21,
gene-DENND6B,DENND6B,NC_059160.1,+,4,
gene-DENR,DENR,NC_059173.1,+,17,
gene-DEPDC1,DEPDC1,NC_059162.1,+,6,
gene-DEPDC1B,DEPDC1B,NC_059175.1,+,19,
gene-DEPDC4,DEPDC4,NC_059160.1,+,4,
